カード番号,カード名,レアリティ（星の数）,上,右,下,左,属性
48,[血が見たい]百花,2,5,6,4,6,百花タイプ
49,[ほら虜]百花,2,6,6,2,6,百花タイプ
50,[駄々羅な暮らし]百花,2,3,6,7,2,百花タイプ
51,[わたしも隣で咲いていた]百花,2,7,3,2,6,百花タイプ
52,[裁きの時]百花,2,2,3,6,7,百花タイプ
53,[綺麗な緋色]百花,2,2,6,4,7,百花タイプ
54,[うねる人身蛇尾]百花,2,7,7,1,3,百花タイプ
55,Moth ti a flame,3,7,3,2,8,
56,フレイム・メドゥーサ,3,4,7,3,7,
57,百鬼夜行,3,7,8,4,2,
58,ふぁんとむ♡らんど,3,3,7,3,7,
59,シータの怪電波,3,8,4,5,4,
60,シータの言霊,3,4,7,6,5,
61,アサギマダラ,3,7,1,7,7,
62,アゲハモドキ,3,8,4,1,7,
63,クラウドナイン,3,8,4,1,7,
64,怪忌蝶,3,7,8,4,3,
65,お茶しよ。,3,3,5,6,8,
66,ブラックシスターズ,3,5,5,5,8,
67,[あなたの逃げ場は私]もな,3,1,8,3,8,もなタイプ
68,[魅力が引き寄せる]もな,3,4,6,4,7,もなタイプ
69,[love me]もな,3,2,8,4,7,もなタイプ
70,[love my life]もな,3,6,4,7,4,もなタイプ
71,[右掌に髪飾]もな,3,7,4,7,3,もなタイプ
72,[得意ね！そっくりさん！]もな,3,8,8,2,3,もなタイプ
73,[ウサギのフリはお任せあれ？]もな,3,7,3,6,4,もなタイプ
74,[あたしを全部否定]もな,3,4,6,8,4,もなタイプ
75,[オマエは明暗解さず]もな,3,5,8,6,3,もなタイプ
76,"[anyway, look up]もな",3,7,6,1,7,もなタイプ
77,[とっくに釘付け？]もな,3,7,7,1,7,もなタイプ
78,[反吐が出る]もな,3,8,3,7,3,もなタイプ
79,[約束したよね]もな,3,6,6,5,6,もなタイプ
80,[いくじなし]もな,3,7,6,7,1,もなタイプ
81,[悪魔TIC]もな,3,5,1,7,8,もなタイプ
82,[運命の糸]美雨,3,7,4,7,4,美雨タイプ
83,[些末ない噺]美雨,3,7,1,5,8,美雨タイプ
84,[嘘に遑あらず]美雨,3,1,4,8,8,美雨タイプ
85,[秘匿した素性]美雨,3,2,7,6,7,美雨タイプ
86,[ただのお仕置き]美雨,3,7,1,6,7,美雨タイプ
87,[苦しかったよね]美雨,3,6,6,5,7,美雨タイプ
88,[トレースすんな！]美雨,3,1,8,4,8,美雨タイプ
89,[赤く膨れた自意識]美雨,3,3,6,6,6,美雨タイプ
90,[ノアの方舟]美雨,3,8,3,2,7,美雨タイプ
91,[ZOKUZOKU天国]美雨,3,3,7,7,5,美雨タイプ
92,[生温い連中ら煙に巻け]美雨,3,3,8,5,5,美雨タイプ
93,[終わりなきハイド＆シーク]美雨,3,8,2,3,8,美雨タイプ
94,[二人だけの世界]美雨,3,5,7,4,5,美雨タイプ
95,[仮初めの哀]美雨,3,6,2,6,7,美雨タイプ
96,[覚悟を決めてよ]美雨,3,6,7,4,4,美雨タイプ
97,[はじめましてのキス]凛花,3,6,3,8,3,凛花タイプ
98,[love me]凛花,3,3,7,2,8,凛花タイプ
99,[love my life]凛花,3,8,3,8,1,凛花タイプ
100,[燦かに身体を裂いて]凛花,3,5,6,7,6,凛花タイプ
101,[居眠りトゥーランドット]凛花,3,8,5,4,5,凛花タイプ
102,[貴方の溢れる血潮]凛花,3,4,1,8,7,凛花タイプ
103,[落ちてゆく雛菊の数だけ]凛花,3,3,7,8,2,凛花タイプ
104,[裏か表か]凛花,3,1,7,6,7,凛花タイプ
105,[ウサギのフリはお任せあれ？]凛花,3,8,8,3,1,凛花タイプ
106,[×カンバセイション]凛花,3,6,5,6,6,凛花タイプ
107,[首元吸いたい sweet time]凛花,3,6,6,3,6,凛花タイプ
108,[LOVE 愛 アルティメット]凛花,3,4,7,8,2,凛花タイプ
109,[真っ赤に灼けた薔薇]凛花,3,5,6,6,6,凛花タイプ
110,[とっておきのスリル]凛花,3,4,7,1,8,凛花タイプ
111,[ご都合主義の墓場]凛花,3,2,7,8,3,凛花タイプ
112,[痛みは情熱]百花,3,2,2,8,8,百花タイプ
113,[恨み言をどうぞ]百花,3,6,6,7,4,百花タイプ
114,[美しく散りたい]百花,3,5,7,1,7,百花タイプ
115,[假初の嘘を吐く]百花,3,2,8,3,8,百花タイプ
116,[ファム・ファタール]百花,3,2,3,8,7,百花タイプ
117,[ココロなんて不純でしょう]百花,3,8,8,4,1,百花タイプ
118,[悲しい？私も一緒の気持ち]百花,3,1,5,8,7,百花タイプ
119,[貴方の顔が霞む]百花,3,1,7,7,6,百花タイプ
120,[嘘か真か]百花,3,7,6,6,2,百花タイプ
121,[腐すくせ何も知らないで]百花,3,8,1,4,7,百花タイプ
122,[狂った言葉の方へ]百花,3,8,2,7,4,百花タイプ
123,[流行らないの涙は]百花,3,7,1,7,5,百花タイプ
124,[ドラマチックに生殺与奪]百花,3,1,6,7,7,百花タイプ
125,[もっと確かな証で縛って？]百花,3,4,8,8,1,百花タイプ
126,[This is my Love]百花,3,7,8,1,4,百花タイプ
127,[おともだち]もな,4,9,3,3,9,もなタイプ
128,[反省文]もな,4,9,2,5,8,もなタイプ
129,[キミ×]もな,4,3,5,9,7,もなタイプ
130,[全部わたしのもの]もな,4,1,5,9,9,もなタイプ
131,[永遠のはじまり]もな,4,1,9,7,8,もなタイプ
132,[ずっと一緒って言ったよね…]もな,4,7,7,7,7,もなタイプ
133,[混沌me 混沌me]もな,4,5,8,7,8,もなタイプ
134,[いちごジャムかけてひとかじり]もな,4,5,9,9,2,もなタイプ
135,[天国注射]もな,4,4,4,8,9,もなタイプ
136,[おともだち]美雨,4,9,7,3,7,美雨タイプ
137,[死刑 死刑 死刑]美雨,4,6,8,4,7,美雨タイプ
138,[キミ×]美雨,4,6,9,6,7,美雨タイプ
139,[その目が憎い]美雨,4,8,9,1,7,美雨タイプ
140,[熱視線のレーザービーム]美雨,4,8,1,7,9,美雨タイプ
141,[美人サマのお通りだ]美雨,4,9,9,2,5,美雨タイプ
142,[約束したじゃん…]美雨,4,2,8,8,7,美雨タイプ
143,[ビバ・艶な生き様]美雨,4,4,9,4,8,美雨タイプ
144,[闇のラズルダズル]美雨,4,8,8,8,1,美雨タイプ
145,[おともだち]凛花,4,9,4,9,3,凛花タイプ
146,[罰罰罰罰 罰罰金]凛花,4,6,9,1,8,凛花タイプ
147,[死刑 死刑 死刑]凛花,4,9,8,3,5,凛花タイプ
148,[キミ×]凛花,4,3,9,3,9,凛花タイプ
149,[綺麗な嘘で飾らせて]凛花,4,8,8,1,8,凛花タイプ
150,[気圧=KOされそうな腐Ero(s)悶]凛花,4,8,1,8,8,凛花タイプ
151,[今夜は月が綺麗ね]凛花,4,9,7,8,1,凛花タイプ
152,[リインカーネーション・ループ]凛花,4,9,5,7,6,凛花タイプ
153,[それともわ・た・し？]凛花,4,6,8,8,6,凛花タイプ
154,[おともだち]百花,4,7,8,8,2,百花タイプ
155,[死刑 死刑 死刑]百花,4,1,8,8,8,百花タイプ
156,[病は灼熱]百花,4,9,6,5,6,百花タイプ
157,[キミ×]百花,4,2,7,7,8,百花タイプ
158,[シタール鳴らし舞い降りてくる]百花,4,7,8,9,1,百花タイプ
159,[絶対に…許さないよ]百花,4,6,8,6,8,百花タイプ
160,[いっぱい安心させてよ]百花,4,8,6,8,6,百花タイプ
161,[わらび餅の海で溺れて]百花,4,9,4,6,7,百花タイプ
162,[強かな目で今宵も惑わす]百花,4,9,2,8,6,百花タイプ
163,[死刑 死刑 死刑]もな,5,7,1,10,9,もなタイプ
164,[人間辞めてみる？]もな,5,9,5,9,6,もなタイプ
165,[心にぐっさりKIZUマーク]もな,5,7,10,7,6,もなタイプ
166,[ホラークイーン]もな,5,4,10,5,9,もなタイプ
167,[黒いチャーム]美雨,5,2,10,5,10,美雨タイプ
168,[余りある美貌の生謳歌]美雨,5,1,8,10,8,美雨タイプ
169,[べぇ]美雨,5,7,7,10,6,美雨タイプ
170,[ホラークイーン]美雨,5,9,10,1,9,美雨タイプ
171,[私はトキシック]凛花,5,5,9,10,3,凛花タイプ
172,[ずっと一緒だよね死ぬまで]凛花,5,3,8,10,7,凛花タイプ
173,[7代先まで愛してね]凛花,5,10,6,4,8,凛花タイプ
174,[ホラークイーン]凛花,5,10,8,2,8,凛花タイプ
175,[心中触れて頂戴れ]百花,5,1,10,10,6,百花タイプ
176,[ショウ・タイム]百花,5,6,2,9,10,百花タイプ
177,[縁起でもない娘]百花,5,8,8,8,8,百花タイプ
178,[ホラークイーン]百花,5,10,8,5,6,百花タイプ
179,ファントムシータ,5,6,6,7,10,
180,Ado,5,9,9,9,9,
