カード番号,図鑑番号,カード名,レアリティ（星の数）,上,右,下,左,合計,属性,属性数値
76,102,"[anyway, look up]",3,7,6,1,7,21,もな,1
77,103,[とっくに釘付け？],3,7,7,1,7,22,もな,1
78,104,[反吐が出る],3,8,3,7,3,21,もな,1
79,105,[約束したよね],3,6,6,5,6,23,もな,1
80,106,[いくじなし],3,7,6,7,1,21,もな,1
81,107,[悪魔TIC],3,5,1,7,8,21,もな,1
183,108,[演じていた昨日までが],3,8,6,6,2,22,もな,1
193,109,[ダーリン],3,8,7,1,6,22,もな,1
194,110,"[I feel like a-, la, la, love]",3,1,8,8,3,20,もな,1
82,111,[魅力が惹き寄せる],3,7,4,7,4,22,美雨,2
83,112,[些末ない噺をするな],3,7,1,5,8,21,美雨,2
84,113,[病は灼熱],3,1,4,8,8,21,美雨,2
85,114,[秘匿した素性],3,2,7,6,7,22,美雨,2
86,115,[ただのお仕置き],3,7,1,6,7,21,美雨,2
87,116,[苦しかったよね],3,6,6,5,7,24,美雨,2
88,117,[あれはあなたか],3,1,8,4,8,21,美雨,2
89,118,[赤く膨れた自意識],3,3,6,6,6,21,美雨,2
90,119,[ノアの方舟],3,8,3,2,7,20,美雨,2
91,120,"[anyway, look up]",3,3,7,7,5,22,美雨,2
92,121,[生温い連中ら煙に巻け],3,3,8,5,5,21,美雨,2
93,122,[終わりなきハイド＆シーク],3,8,2,3,8,21,美雨,2
94,123,[二人だけの世界],3,5,7,4,5,21,美雨,2
95,124,[来世は会えませんように],3,6,2,6,7,21,美雨,2
96,125,[覚悟を決めてよ],3,6,7,4,4,21,美雨,2
184,126,[わたしはわたしの手を引いた],3,6,2,6,8,22,美雨,2
195,127,"[I feel like a-, la, la, love]",3,4,4,7,6,21,美雨,2
206,128,[平凡な感情が欲しいな],3,7,5,8,2,22,美雨,2
112,129,[痛みは情熱],3,2,2,8,8,20,百花,3
113,130,[恨み言をどうぞ],3,6,6,7,4,23,百花,3
114,131,[綺麗な嘘で騙されて],3,5,7,1,7,20,百花,3
115,132,[假初の嘘を吐く],3,2,8,3,8,21,百花,3
116,133,[ファム・ファタール],3,2,3,8,7,20,百花,3
117,134,[ココロなんて不純でしょう],3,8,8,4,1,21,百花,3
118,135,[貴方の顔が霞む],3,1,5,8,7,21,百花,3
119,136,[ああ殺められたならば],3,1,7,7,6,21,百花,3
120,137,[嘘か真か],3,7,6,6,2,21,百花,3
121,138,[腐すくせ何も知らないで],3,8,1,4,7,20,百花,3
122,139,[狂った言葉の方へ],3,8,2,7,4,21,百花,3
123,140,[流行らないの涙は],3,7,1,7,5,20,百花,3
124,141,[ドラマチックに生殺与奪],3,1,6,7,7,21,百花,3
125,142,[もっと確かな証で縛って？],3,4,8,8,1,21,百花,3
126,143,[This is my Love],3,7,8,1,4,20,百花,3
186,144,[わたしはわたしの目を隠した],3,8,5,5,5,23,百花,3
197,145,"[I feel like a-, la, la, love]",3,4,6,6,8,24,百花,3
207,146,[早急に早急に早急に始まりたい],3,5,6,3,8,22,百花,3
97,147,[はじめましてのキス],3,6,3,8,3,20,凛花,4
98,148,[love me],3,3,7,2,8,20,凛花,4
99,149,[暴いて 暴いて],3,8,3,8,1,20,凛花,4
100,150,[燦かに身体を裂いて],3,5,6,7,6,24,凛花,4
101,151,[居眠りトゥーランドット],3,8,5,4,5,22,凛花,4
102,152,[貴方の溢れる血潮],3,4,1,8,7,20,凛花,4
103,153,[落ちてゆく雛菊の数だけ],3,3,7,8,2,20,凛花,4
104,154,[裏か表か],3,1,7,6,7,21,凛花,4
105,155,[ウサギのフリはお任せあれ？],3,8,8,3,1,20,凛花,4
106,156,[×カンバセイション],3,6,5,6,6,23,凛花,4
107,157,[首元吸いたい sweet time],3,6,6,3,6,21,凛花,4
108,158,[LOVE 愛 アルティメット],3,4,7,8,2,21,凛花,4
109,159,[真っ赤に灼けた薔薇],3,5,6,6,6,23,凛花,4
110,160,[情熱よはぐれないで],3,4,7,1,8,20,凛花,4
111,161,[捕まえて],3,2,7,8,3,20,凛花,4
185,162,[壊したそのときに壊したくなった],3,6,8,2,6,22,凛花,4
192,163,[それならいっそ壊れちゃうの],3,6,2,8,6,22,凛花,4
196,164,"[I feel like a-, la, la, love]",3,8,7,2,4,21,凛花,4
231,165,ノア,4,9,4,8,4,25,,0
232,166,ノア[裁きの時],4,8,3,8,8,27,,0
127,167,[隠しても無駄だよ],4,9,3,3,9,24,もな,1
128,168,[反省文],4,9,2,5,8,24,もな,1
129,169,[キミ×],4,3,5,9,7,24,もな,1
130,170,[全部わたしのもの],4,1,5,9,9,24,もな,1
131,171,[肉体は離ればなれ],4,1,9,7,8,25,もな,1
132,172,[ずっと一緒って言ったよね…],4,7,7,7,7,28,もな,1
133,173,[混沌me 混沌me],4,5,8,7,8,28,もな,1
134,174,[ちょっと痛かったね♡],4,5,9,9,2,25,もな,1
135,175,[天国注射],4,4,4,8,9,25,もな,1
187,176,[ゾクゾク],4,2,9,5,9,25,もな,1
191,177,[やんなっちゃうわ],4,7,1,9,8,25,もな,1
200,178,[botばっか],4,8,7,1,9,25,もな,1
136,179,[おともだち],4,9,7,3,7,26,美雨,2
137,180,[死刑 死刑 死刑],4,6,8,4,7,25,美雨,2
138,181,[キミ×],4,6,9,6,7,28,美雨,2
139,182,[生きたいって感じさせて],4,8,9,1,7,25,美雨,2
140,183,[熱視線のレーザービーム],4,8,1,7,9,25,美雨,2
141,184,[美人サマのお通りだ],4,9,9,2,5,25,美雨,2
142,185,[約束したじゃん…],4,2,8,8,7,25,美雨,2
143,186,[ZOKUZOKU天国],4,4,9,4,8,25,美雨,2
144,187,[闇のラズルダズル],4,8,8,8,1,25,美雨,2
188,188,[ゾクゾク],4,9,2,5,9,25,美雨,2
201,189,[botばっか],4,8,4,9,4,25,美雨,2
214,190,[乙女心中],4,7,9,7,1,24,美雨,2
154,191,[隠しても無駄だよ],4,7,8,8,2,25,百花,3
155,192,[死刑 死刑 死刑],4,1,8,8,8,25,百花,3
156,193,[私の今いる地獄にキミを落とすよ],4,9,6,5,6,26,百花,3
157,194,[キミ×],4,2,7,7,8,24,百花,3
158,195,[シタール鳴らし舞い降りてくる],4,7,8,9,1,25,百花,3
159,196,[すき、きらい],4,6,8,6,8,28,百花,3
160,197,[いっぱい安心させてよ],4,8,6,8,6,28,百花,3
161,198,[わらび餅の海で溺れて],4,9,4,6,7,26,百花,3
162,199,[強かな目で今宵も惑わす],4,9,2,8,6,25,百花,3
190,200,[ゾクゾク],4,7,7,9,4,27,百花,3
203,201,[botばっか],4,1,9,8,7,25,百花,3
216,202,[乙女心中],4,9,1,7,8,25,百花,3
145,203,[隠しても無駄だよ],4,9,4,9,3,25,凛花,4
146,204,[罰罰罰罰 罰罰金],4,6,9,1,8,24,凛花,4
147,205,[死刑 死刑 死刑],4,9,8,3,5,25,凛花,4
148,206,[キミ×],4,3,9,3,9,24,凛花,4
149,207,[綺麗な嘘で飾らせて],4,8,8,1,8,25,凛花,4
150,208,[気圧=KOされそうな腐Ero(s)悶],4,8,1,8,8,25,凛花,4
151,209,[今夜は月が綺麗ね],4,9,7,8,1,25,凛花,4
152,210,[リインカーネーション・ループ],4,9,5,7,6,27,凛花,4
153,211,[それともわ・た・し？],4,6,8,8,6,28,凛花,4
189,212,[ゾクゾク],4,1,9,9,5,24,凛花,4
202,213,[botばっか],4,7,9,8,1,25,凛花,4
215,214,[覺めて渇いてゐる],4,5,9,1,9,24,凛花,4
163,215,[死刑 死刑 死刑],5,7,1,10,9,27,もな,1
164,216,[人間辞めてみる？],5,9,5,9,6,29,もな,1
165,217,[心にぐっさりKIZUマーク],5,7,10,7,6,30,もな,1
166,218,[ホラークイーン],5,4,10,5,9,28,もな,1
198,219,[中華喫茶ふぁんとむ],5,A,2,7,9,28,もな,1
167,220,[黒いチャーム],5,2,10,5,10,27,美雨,2
168,221,[余りある美貌の生謳歌],5,1,8,10,8,27,美雨,2
169,222,[べぇ],5,7,7,10,6,30,美雨,2
170,223,[ホラークイーン],5,9,10,1,9,29,美雨,2
211,224,[もーいーかい？],5,A,5,A,2,27,美雨,2
175,225,[心中触れて頂戴れ],5,1,10,10,6,27,百花,3
176,226,[ショウ・タイム],5,6,2,9,10,27,百花,3
177,227,[縁起でもない娘],5,8,8,8,8,32,百花,3
178,228,[ホラークイーン],5,10,8,5,6,29,百花,3
213,229,[もーいーかい？],5,2,A,A,5,27,百花,3
171,230,[貴方の居場所は私],5,5,9,10,3,27,凛花,4
172,231,[すき、きらい],5,3,8,10,7,28,凛花,4
173,232,[7代先まで愛してね],5,10,6,4,8,28,凛花,4
174,233,[ホラークイーン],5,10,8,2,8,28,凛花,4
212,234,[もーいーかい？],5,A,A,4,1,25,凛花,4
179,235,ファントムシータ,5,6,6,7,10,29,,0
180,236,Ado,5,9,9,9,9,36,,0
